$$Product2.Name$ProductSellingModel.Name$ProrationPolicy.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.Name,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
Silver Hardware Maintenance;Term Annual;Default Proration Policy,0iO3y000000PAwkEAG,true,Silver Hardware Maintenance,01t3y000007r7E2AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Fundamentals Training;One-Time,0iO3y000000PAwlEAG,true,QuantumBit Fundamentals Training,01t3y000007r7E7AAI,One-Time,0jP3y000000KynJEAS,,
C13 to C14 Power Cable 3';One-Time,0iO3y000000PAwVEAW,true,C13 to C14 Power Cable 3',01t3y000007r7DmAAI,One-Time,0jP3y000000KynJEAS,,
QuantumBit Essentials Training;One-Time,0iO3y000000PAwpEAG,true,QuantumBit Essentials Training,01t3y000007r7E8AAI,One-Time,0jP3y000000KynJEAS,,
Additional API Flex (100M);Term Annual;Default Proration Policy,0iO3y000000PAx4EAG,true,Additional API Flex (100M),01t3y000007r7DFAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API Gov;Term Annual;Default Proration Policy,0iO3y000000PAx9EAG,true,Additional API Gov,01t3y000007r7DEAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API Pre-Prod;Term Annual;Default Proration Policy,0iO3y000000PAxEEAW,true,Additional API Pre-Prod,01t3y000007r7DDAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API Prod;Term Annual;Default Proration Policy,0iO3y000000PAxAEAW,true,Additional API Prod,01t3y000007r7DCAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Automation QB Credits;Term Annual;Default Proration Policy,0iO3y000000PAxJEAW,true,Additional Automation QB Credits,01t3y000007r7DBAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional QB DataGraph (500M);Term Annual;Default Proration Policy,0iO3y000000PAxOEAW,true,Additional QB DataGraph (500M),01t3y000007r7DGAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
API Access Requests (AEH);Term Annual;Default Proration Policy,0iO3y000000PAxFEAW,true,API Access Requests (AEH),01t3y000007r7DHAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Flows - QB Starter;Term Annual;Default Proration Policy,0iO3y000000PAxTEAW,true,Additional Flows - QB Starter,01t3y000007r7D6AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Messages - QB Starter;Term Annual;Default Proration Policy,0iO3y000000PAxYEAW,true,Additional Messages - QB Starter,01t3y000007r7D8AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Data Throughput (TB);Term Annual;Default Proration Policy,0iO3y000000PAxUEAW,true,Additional Data Throughput (TB),01t3y000007r7DAAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
***QuantumBit Starter Bundle;Term Annual;Default Proration Policy,0iO3y000000PAxdEAG,true,***QuantumBit Starter Bundle,01t3y000007r7NLAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QB API Management Solution;Term Annual;Default Proration Policy,0iO3y000000PAxiEAG,true,QB API Management Solution,01t3y000007r7NGAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Enterprise TEST;Term Annual;Default Proration Policy,0iO3y000000PAxnEAG,true,QuantumBit Enterprise TEST,01t3y000007r7NQAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Starter;One-Time,0iO3y000000PAwaEAG,true,QuantumBit Starter,01t3y000007r7N6AAI,One-Time,0jP3y000000KynJEAS,,
Gold Hardware Maintenance;Term Annual;Default Proration Policy,0iO3y000000PAwbEAG,true,Gold Hardware Maintenance,01t3y000007r7E4AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API;Term Annual;Default Proration Policy,0iO3y000000002MEAQ,true,Additional API,01t3y000006XnK1AAK,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Complete Solution;Term Annual;Default Proration Policy,0iO3y000000002WEAQ,true,QuantumBit Complete Solution,01t3y000006XnK6AAK,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API;Term Monthly;Default Proration Policy,0iO3y000000002REAQ,false,Additional API,01t3y000006XnK1AAK,Term Monthly,0jP3y000000KynOEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API;Evergreen Monthly;Default Proration Policy,0iO3y000000002SEAQ,false,Additional API,01t3y000006XnK1AAK,Evergreen Monthly,0jP3y000000KynTEAS,Default Proration Policy,0mu3y000000oLwnAAE
16GB RDIMM;One-Time,0iO3y0000000035EAA,true,16GB RDIMM,01t3y000006XnkvAAC,One-Time,0jP3y000000KynJEAS,,
4TB 7.2k RPM NLSAS;One-Time,0iO3y000000003AEAQ,true,4TB 7.2k RPM NLSAS,01t3y000006Xnl0AAC,One-Time,0jP3y000000KynJEAS,,
8TB 7.2k RPM NLSAS;One-Time,0iO3y000000003BEAQ,true,8TB 7.2k RPM NLSAS,01t3y000006Xnl9AAC,One-Time,0jP3y000000KynJEAS,,
8TB 7.2k RPM Self-Encrypting NLSAS;One-Time,0iO3y000000003CEAQ,true,8TB 7.2k RPM Self-Encrypting NLSAS,01t3y000006XnlAAAS,One-Time,0jP3y000000KynJEAS,,
QuantumBit Services Project;One-Time,0iO3y000000003KEAQ,true,QuantumBit Services Project,01t3y000006XnlEAAS,One-Time,0jP3y000000KynJEAS,,
Module Extension Engineer;One-Time,0iO3y000000003LEAQ,true,Module Extension Engineer,01t3y000006XnlTAAS,One-Time,0jP3y000000KynJEAS,,
Program Director;One-Time,0iO3y000000003MEAQ,true,Program Director,01t3y000007r7EGAAY,One-Time,0jP3y000000KynJEAS,,
Intel Xeon E5-2660 v4 2.0GHz;One-Time,0iO3y000000002gEAA,true,Intel Xeon E5-2660 v4 2.0GHz,01t3y000006XnkkAAC,One-Time,0jP3y000000KynJEAS,,
Quality Assurance Engineer;One-Time,0iO3y000000003ZEAQ,true,Quality Assurance Engineer,01t3y000006XnlYAAS,One-Time,0jP3y000000KynJEAS,,
Intel X710 Dual Port 10Gb Direct Attach;One-Time,0iO3y000000003FEAQ,true,Intel X710 Dual Port 10Gb Direct Attach,01t3y000006Xnl1AAC,One-Time,0jP3y000000KynJEAS,,
Implementation Engineer;One-Time,0iO3y000000003PEAQ,true,Implementation Engineer,01t3y000006XnlJAAS,One-Time,0jP3y000000KynJEAS,,
Intel Xeon E5-2683 v4 2.1GHz;One-Time,0iO3y000000002vEAA,true,Intel Xeon E5-2683 v4 2.1GHz,01t3y000006XnkqAAC,One-Time,0jP3y000000KynJEAS,,
Data Normalization Expert;One-Time,0iO3y000000003QEAQ,true,Data Normalization Expert,01t3y000006XnlPAAS,One-Time,0jP3y000000KynJEAS,,
Intel Xeon E5-2609 v4 1.7GHz;One-Time,0iO3y000000002bEAA,true,Intel Xeon E5-2609 v4 1.7GHz,01t3y000006XnkfAAC,One-Time,0jP3y000000KynJEAS,,
PowerSwerve R750 Rack Server;One-Time,0iO3y000000002cEAA,true,PowerSwerve R750 Rack Server,01t3y000006XnkuAAC,One-Time,0jP3y000000KynJEAS,,
8GB RDIMM;One-Time,0iO3y0000000030EAA,true,8GB RDIMM,01t3y000006XnkzAAC,One-Time,0jP3y000000KynJEAS,,
32GB RDIMM;One-Time,0iO3y0000000031EAA,true,32GB RDIMM,01t3y000006Xnl4AAC,One-Time,0jP3y000000KynJEAS,,
1TB 7.2k RPM NLSAS;One-Time,0iO3y0000000032EAA,true,1TB 7.2k RPM NLSAS,01t3y000006Xnl5AAC,One-Time,0jP3y000000KynJEAS,,
Intel X710 Dual Port 10Gb SFP;One-Time,0iO3y0000000033EAA,true,Intel X710 Dual Port 10Gb SFP,01t3y000006XnlBAAS,One-Time,0jP3y000000KynJEAS,,
Integration Specialist Engineer;One-Time,0iO3y000000003UEAQ,true,Integration Specialist Engineer,01t3y000006XnlOAAS,One-Time,0jP3y000000KynJEAS,,
Solutions Architect;One-Time,0iO3y000000003jEAA,true,Solutions Architect,01t3y000007r7EJAAY,One-Time,0jP3y000000KynJEAS,,
Configured Power Cable;One-Time,0iO3y000000PAxsEAG,true,Configured Power Cable,01t3y000007r8HyAAI,One-Time,0jP3y000000KynJEAS,,
Subscription;Evergreen Monthly;Default Proration Policy,0iO3y000000000LEAQ,true,Subscription,01t3y000006Xly3AAC,Evergreen Monthly,0jP3y000000KynTEAS,Default Proration Policy,0mu3y000000oLwnAAE
Professional Services Daily Rate;One-Time,0iO3y000000002CEAQ,true,Professional Services Daily Rate,01t3y000007r7EAAAY,One-Time,0jP3y000000KynJEAS,,
Professional Services Scope of Work;One-Time,0iO3y000000002HEAQ,true,Professional Services Scope of Work,01t3y000007r7EBAAY,One-Time,0jP3y000000KynJEAS,,
Subscription;Term Monthly;Default Proration Policy,0iO3y000000000QEAQ,false,Subscription,01t3y000006Xly3AAC,Term Monthly,0jP3y000000KynOEAS,Default Proration Policy,0mu3y000000oLwnAAE
Intel Xeon E5-2667 v4 3.2GHz;One-Time,0iO3y000000002qEAA,true,Intel Xeon E5-2667 v4 3.2GHz,01t3y000006XnklAAC,One-Time,0jP3y000000KynJEAS,,
Project Manager;One-Time,0iO3y000000003eEAA,true,Project Manager,01t3y000007r7EKAAY,One-Time,0jP3y000000KynJEAS,,
